Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
1/31/2021,31,January,2021,39,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-550-W Yellow, 38",30, $713.00 ," $1,120.00 "," $12,210.00 "," $21,390.00 "," $33,600.00 "
2/28/2021,28,February,2021,33,Young Adults (25-34),F,France,Yveline,Bikes,Road Bikes,"Road-150 Red, 48",20," $2,171.00 "," $3,578.00 "," $28,140.00 "," $43,420.00 "," $71,560.00 "
3/31/2021,31,March,2021,17,Youth (<25),M,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 44",10," $1,519.00 "," $2,443.00 "," $9,240.00 "," $15,190.00 "," $24,430.00 "
4/30/2021,30,April,2021,23,Youth (<25),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 46",10," $1,252.00 "," $2,295.00 "," $10,430.00 "," $12,520.00 "," $22,950.00 "
5/31/2021,31,May,2021,42,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-750 Black, 44",11, $344.00 , $540.00 ," $2,156.00 "," $3,784.00 "," $5,940.00 "
6/30/2021,30,June,2021,40,Adults (35-64),M,Australia,Victoria,Bikes,Road Bikes,"Road-550-W Yellow, 40",14, $713.00 ," $1,120.00 "," $5,698.00 "," $9,982.00 "," $15,680.00 "
7/31/2021,31,July,2021,41,Adults (35-64),F,Australia,Queensland,Bikes,Road Bikes,"Road-250 Red, 58",30," $1,555.00 "," $2,443.00 "," $26,640.00 "," $46,650.00 "," $73,290.00 "
8/31/2021,31,August,2021,32,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 38",14, $713.00 ," $1,120.00 "," $5,698.00 "," $9,982.00 "," $15,680.00 "
9/30/2021,30,September,2021,35,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 48",12, $713.00 ," $1,120.00 "," $4,884.00 "," $8,556.00 "," $13,440.00 "
10/31/2021,31,October,2021,28,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",40," $1,252.00 "," $2,295.00 "," $41,720.00 "," $50,080.00 "," $91,800.00 "
11/30/2021,30,November,2021,39,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-150 Red, 48",47," $2,171.00 "," $3,578.00 "," $66,129.00 "," $102,037.00 "," $168,166.00 "
12/31/2021,31,December,2021,45,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 44",32, $344.00 , $540.00 ," $6,272.00 "," $11,008.00 "," $17,280.00 "
1/31/2022,31,January,2022,45,Adults (35-64),F,Australia,South Australia,Bikes,Road Bikes,"Road-750 Black, 48",28, $344.00 , $540.00 ," $5,488.00 "," $9,632.00 "," $15,120.00 "
